【信息系统项目管理师】47个过程口语化描述

过程名	说明	可以写什么
识别干系人	就是要看本项目有哪些干系人，他们需要什么信息，识别出来	本过程的重要性，输入输出工具与技术，可以详细写有哪些干系人，需要什么信息，还可以写干系人登记册
编写干系人管理计划	需要写个文档来对干系人进行管理	本计划的重要性，编写方法原则，过程，计划的内容，输入输出工具与技术等方面阐述
管理干系人	就是按照干系人管理计划对干系人进行管理的过程	重要性，输入输出工具与急事，举例说明哪些干系人是支持项目的，哪些干系人是反对项目的，分别怎么做
控制干系人	进行管理监督，看是否有偏差，是否需要进行调整	重要性，输入输出工具与技术，还可以写写有什么问题，怎么解决，还可以写有什么文件进行了更新
–	成本管理	–
制定成本计划	编制成本管理计划，这个计划主要是描述我们是将如何进行项目的成本估算，预算，控制内容的	可写可不写的一个过程，写通过什么方法，原则编写计划，计划的重要性，包含的内容
成本估算	对完成项目进行一个大致的估算，进行要钱的过程	可以写估算成本的重要性，估算的三个步骤，在进行估算的时候我们遇到了哪些困难，通过什么方法解决，也可以写工具与技术
成本预算	对完成本项目作出一个比较精确的预算，进行花钱	可以写重要性，预算的步骤，遇到什么困难如何解决，最后得到什么
成本控制	对成本进行控制，发现问题及时进行纠偏	成本控制的内容，重要性，可以例举挣值分析进行阐述，在本项目某一阶段发生了什么问题，怎么解决的
–	质量管理	–
规划质量	编写一个质量管理计划，描述本项目的质量标准，并记录如何达到这个标准	重要性，编制的原则步骤，工具与技术，本计划的内容等
质量保证	通过一些办法忽悠甲方和领导，提供能满足相关质量标准的信心，并定期评估项目的绩效，是质量计划和质量控制的控制	质量保证的重要性，质量保证的意义，质量审计的作用和应用，质量保证与质量控制之间的区别与联系
质量控制	监控项目的执行状态，看看目前的质量情况，如果有问题，进行原因分析，并进行纠偏，以达到质量要求	重要性，步骤，人机料法环等方面举例出现了什么问题，是什么原因，我们是通过什么办法去解决的
–	人力资源管理	–
编制人力资源管理计划	编写一个叫人力资源管理计划的文档，其内容包括了本项目中的角色，需要多少人，汇报关系，另外需要注意还包括了人员配备管理计划	编计划时用了什么工具，用了什么原则，该计划有什么作用，有哪些内容
组建团队	根据计划的要求，通过一些方式，比如虚拟团队，采购谈判等，实现分派的方式来组建项目团队	通过什么方式，利用了什么条件组建了项目团队，简要说明一下目前团队的人员状态等
建设团队	将在一起变为好好的在一起，需要通过一些方式来培养建设我们的项目团队，提高团队个人技能，改进团队的协作，提高团队的整体水平，最终提高项目的建设	通过本次活动，我们达到了一个怎么样的效果，还可以写写团队建设的几个阶段等
管理团队	跟踪团队成员的绩效和项目的绩效，需要进行一些反馈，对冲突进行管理，不断提高项目的绩效	写团队管理的重要性，写360度反馈方法，列举冲突说明如何解决冲突
–	采购管理	–
规划采购	编写一个文档，在这个文档中说明采购什么，何时采购通过什么方式采购	可以写采购计划的作用，在编写的过程中采用了什么技术，条件和步骤原则等，也可以适当描述下采购工作说明书
实施采购	按照计划去实施，选中供应商，签订合同的过程	可以结合招投标流程去写，比如如何进行供货方选择，招投标会议
控制采购	对采购管理进行监控，监督合同的执行	输入输出工具技术，有何问题，什么原因如何解决
结束采购	我们需要履行合同条款，需要关闭项目的合同	如何付款，如何进行验收，如何归档，还有输入输出工具与技术可写
–	风险管理	–
风险管理计划的编制	编写一个计划，这个文档记录了我们打算如何来进行项目风险管理的内容	用了什么依据，什么方法，什么原则编写计划，这个计划包含了什么内容
风险识别	我们需要识别这个项目里到底有哪些风险，然后记录下来	可以写我们在风险识别的时候有什么原则，通过什么方式进行了识别，可以例举风险
定性风险分析	通过风险发生的概率和风险发生之后对项目的影响，对风险进行一个优先级的排序，为下面的工作做准备	可以写我们通过什么方法进行了定性分析，通过定性分析起到了什么效果，结合项目的具体情况进行说明
定量风险分析	对定性风险分析之后的排序在前的一些风险，进行一个量化的计算，求得一个具体的数字	可以写我们通过什么手段进行了定量分析，通过分析起到了什么效果，结合项目的具体情况进行说明
风险应对计划的编制	针对消极风险，我们采取了相应的措施，针对积极风险，我们也采取相应的措施	具体可以写在本项目中，我们针对什么样的风险采取了什么样的措施，实施以后有了什么样的效果
风险监控	我们需要在项目的整个生命周期中不断的跟踪已识别风险，检测一些残余的风险，还要识别新的风险，并进行审计，评估我们之前的效果	可以具体写我们在项目中跟踪了哪些风险，识别了哪些风险，并进行了风险的审计，对我们之前的结果进行了一个评价
–	整体管理	–
制定项目章程	制订发布章程这个文档，正式批准项目的启动，并授权项目经理	不需要写很多，就用一句话带过，就说项目发起人发步了这个文件，项目启动了，我被授权了，还可以写项目章程的作用和内容
制定项目管理计划	和大家一起制定一个项目管理计划，为接下来的项目的执行奠定基础	可以写计划编制的原则步骤，工具，结合本项目说明项目管理计划包含什么内容
指导和管理项目工作	按照项目管理计划对项目进行指导和管理项目的执行	可以解，我们是如何按照项目管理计划来对项目的执行进行管理的，例如我们根据计划做了什么安排怎么样的安排
监督和控制项目工作	在项目的执行过程中，一定要不断地监督，进行对比分析，做好项目的纠偏控制的工作，确保项目的正常执行	可以写如何设置监控点，如何去监控，如何获得项目的信息。举例项目在什么时候发现什么问题，是如何分析的是如何解决的
变更管理	当发生变更时，我们必须要严格按照变更管理流程进行项目的变更管理工作	可以举个例子，说明我们是如何进行变更控制管理的，在这里，我们也可以结合配置管理来进行说明
项目收尾	项目通过了验收，交付了产品履行了相关的合同规定，除此之外，我们还要召开项目总结会，进行项目的总结和项目的评估审计工作	可以具体写下项目的验收情况，项目总结会的作用，内容和项目评估审计等相关的工作，最后更新组织过程资产等
